id,title,authority,local_government,source_type,canonical_url,status
a7d12a21-6479-5d8a-b767-8b66b1b4920c,5G Mobile Phone Networks Mobile phone carriers are currently upgrading 4G networks around Australia to 5G with many network upgrades already completed.,City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Revitalisation-Strategies/5G-Mobile-Phone-Networks,active
ce956f02-e503-5bf4-8ed1-82687632f003,ABCB NCC editions index,Australian Building Codes Board,,index_page,https://ncc.abcb.gov.au/editions-national-construction-code,active
870bdab3-a72a-50cd-94f5-58640c0b5a32,Approved Scheme Amendments - Town Planning Scheme 3 Access approved Scheme Amendments and the associated documents. Approved Amendments are listed in order of their Amendment number.,City of Cockburn,Cockburn,local_planning_scheme,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Planning-Scheme/Approved-Scheme-Amendments-Town-Planning-Scheme,active
7cd1bfb5-cf4c-5d21-ab50-a1acdf4459a8,Approved Structure Plans,City of Cockburn,Cockburn,structure_plan,https://www.cockburn.wa.gov.au/Building-and-Development/Town-planning-and-development/Structure-plans/Approved-structure-plans,active
d1c766c3-52dd-53ec-bb1d-f0d6551b2023,"Australian Marine Complex Technology Precinct Structure Plan - WAPC Reference: SPN/0820 (PDF, 16.89MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2024-07/australian-marine-complex-technology-precinct-structure-plan-structure-plan-report.pdf,active
4a1143ab-3e58-5ac6-a643-fe324ab821a1,"Barfield Road Structure Plan - WAPC Reference SPN 0467M-5 (PDF, 97.22MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2025-03/barfield_road_structure_plan.pdf,active
028dad33-e6c5-5b60-8034-bfc217868504,Building Advice,City of Cockburn,Cockburn,planning_guidance,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Building-and-Planning-Advice,active
8bd56406-c0bf-53bc-9be9-3717b75570f2,Building and Planning Advice,City of Cockburn,Cockburn,planning_guidance,https://www.cockburn.wa.gov.au/Building-and-Development/Guidance-and-advice/Building-and-planning-advice,active
a1297dbf-7b78-4e2e-b1f6-c3232b782482,Bush Fire Prone Areas (OBRM-001),DFES / Office of Bushfire Risk Management (SLIP),,spatial_dataset,https://services.slip.wa.gov.au/public/rest/services/SLIP_Public_Services/Bush_Fire_Prone_Areas/MapServer/17,active
ccc61e30-b783-4147-9f0e-81f32b443f3c,Cadastre (No Attributes) (LGATE-001),Landgate (SLIP),,spatial_dataset,https://services.slip.wa.gov.au/public/rest/services/SLIP_Public_Services/Property_and_Planning/MapServer/2,active
fccf49e5-9871-5176-9a72-ebb96e6b93cb,"Cell 6 Yangebup/Beeliar Structure Plan Amendment No. 7 - WAPC Reference SPN 0510M-3 (PDF, 6.92MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2025-06/cell-6-yangebupbeeliar-structure-plan-amendment-no.7-wapc-reference-spn-0510m-3.pdf,active
8a805133-45f4-5c47-8073-ee6a6686ae06,"Cell 9 (Yangebup) & Cell 10 (Beeliar) Local Structure Plan - WAPC Reference SPN 0511M-2 (PDF, 2.41MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2025-06/cell-9-yangebup-cell-10-beeliar-local-structure-plan-wapc-reference-spn-0511m-2.pdf,active
b76bb2a5-82ba-5d2b-af8d-13163a855036,"Changing the name of North Coogee The City received a proposal to change the name of North Coogee, and supported its consideration by Landgate, who have determined the proposal is not compliant with the policy. The assessment proce...",City of Cockburn,Cockburn,local_planning_policy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Changing-the-name-of-Port-Coogee,active
745b3db1-0a82-5473-90af-1fadf99b594a,"City of Cockburn local planning strategy (PDF, 12.83MB)","Department of Planning, Lands and Heritage",Cockburn,local_planning_strategy,https://www.wa.gov.au/system/files/2024-10/city-of-cockburn-strategy_0.pdf,active
906aa45d-d152-5efe-af26-c25bd2d7cf5b,City of Cockburn planning information source anchor,"Department of Planning, Lands and Heritage",Cockburn,local_planning_scheme,https://www.wa.gov.au/government/document-collections/city-of-cockburn-planning-information,active
93843a1f-f4c8-5127-ae41-89a2a520d864,"Cockburn Central Activity Centre Strategy Find out about the road projects within the City, including the scope, aims, key issues and timeline of the Cockburn Central Activity Centre Strategy.",City of Cockburn,Cockburn,local_planning_strategy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Planning-Strategy-and-Key-Initiatives/Cockburn-Central-Activity-Centre-Strategy,active
f43210e0-2c95-5ecb-9410-178a0b48beae,"Cockburn Central North (Muriel Court) Local Structure Plan - WAPC Reference SPN/0801M-7 (PDF, 2.7MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2024-02/cockburn-central-north-muriel-court-local-structure-plan-wapc-reference-spn-0801m-7.pdf,active
35cdf74b-1364-5956-b2d9-64a0e62b4efa,"Cockburn Central Town Centre Structure Plan 23B - WAPC Reference SPN 0849 (PDF, 2.02MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2024-01/cockburn-central-town-centre-structure-plan-23b-wapc-reference-spn-0849.pdf,active
cdb7c3c7-272a-516e-a791-ff8453a048e0,"Cockburn Central West Structure Plan 23C - WAPC Reference SPN 0560M-1 (PDF, 15.91MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2023-12/cockburn-central-west-structure-plan-23c-wapc-reference-spn-0560m-1.pdf,active
421aaa9e-f77b-54bd-b41c-226b9db58652,"Cockburn Coast Emplacement Local Structure Plan 33B - WAPC Reference SPN/0478 (PDF, 17.64MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2024-02/cockburn-coast-emplacement-local-structure-plan-33b-wapc-reference-spn_0478.pdf,active
bbcd098d-2104-5624-8b26-e4be6ec1abef,"Cockburn Map Index (PDF, 704.96KB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2021-10/LPSC-Cockburn-Map-Index_36215.pdf,active
85cb4564-bc38-52b1-b93c-ffe1e2ab8702,"Cockburn Scheme Text (PDF, 2.31MB)","Department of Planning, Lands and Heritage",Cockburn,local_planning_scheme,https://www.wa.gov.au/system/files/2026-05/cockburn3_schemetext.pdf,active
218105e4-f504-5bb8-8dcb-bbbb24b80461,Coogee Beach Master Plan,City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Planning-Projects/Coogee-Beach-Master-Plan,active
8874a5bd-76fd-5476-b242-25cc5fef0c4a,"Coolbellup Revitalisation Strategy Find out about the Coolbellup Revitalisation Strategy to revive the suburb, including key issues, timeframe, infill development and who to contact.",City of Cockburn,Cockburn,local_planning_strategy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Revitalisation-Strategies/Coolbellup-Revitalisation-Strategy,active
1176aed1-b1c5-51be-a21e-646b5287f123,"Coolbellup Town Centre Structure Plan - WAPC Reference SPN/0476 (PDF, 12.3MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2024-05/coolbellup-town-centre-structure-plan-wapc-reference-spn_0476.pdf,active
286862f8-b1b3-5550-b522-67c1106069fb,Current Development Assessment Panel applications,"Department of Planning, Lands and Heritage",Cockburn,source_document,https://www.wa.gov.au/government/document-collections/current-development-assessment-panel-applications-and-information,active
cf612fc4-67ac-5e17-82d2-306fb13e28b7,Current Development Projects,City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-and-Development/Town-Planning-and-Development/Current-Development-Projects,active
0b8e4cf3-c0f5-53f9-9ee6-fe9913ac6494,Current Development Projects Find out about current projects being developed in the City of Cockburn.,City of Cockburn,Cockburn,structure_plan,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Structure-Plans/Current-Development-Projects,active
3e1a5cc5-92ed-563e-8a2e-3dd468f3d51a,Department of Planning - Local Development Plan Framework opens in a new window,"Department of Planning, Lands and Heritage",Cockburn,local_development_plan,https://www.planning.wa.gov.au/dop_pub_pdf/Local_Development_Plan_Framework.pdf,active
2946c7bd-0da2-584c-884b-363fe08fe779,Development Assessment Panel (DAP),City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Development-Assessment-Panel,active
4bb7d21a-22fb-592a-858c-b02d45f3f964,Discovery Parks lease at Coogee Beach Holiday Park Read information on the Discovery Parks lease at Coogee Beach Holiday Park.,City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Planning-Projects/Discovery-Parks-lease-at-Coogee-Beach-Caravan-Park,active
09552cdf-cc1c-556c-b8d1-8695af6aeec1,District Structure Plans,City of Cockburn,Cockburn,structure_plan,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Structure-Plans/District-Structure-Plans,active
8558c223-7ec5-50bd-9c69-2f2a80d684e4,DPLH Development control and operational policies index,Western Australian Planning Commission,,index_page,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/development-control-and-operational-policies,active
b302d71d-6929-5a23-ae0a-bfbcbe4f3feb,DPLH State Planning Policies index,Western Australian Planning Commission,,index_page,https://www.wa.gov.au/government/document-collections/state-planning-policies,active
ce5055f4-1828-49f7-9f21-d01a908631ad,Geoscape G-NAF (Geocoded National Address File),Geoscape Australia,,spatial_dataset,https://data.gov.au/data/dataset/geocoded-national-address-file-g-naf,active
1bb6fc79-04a2-55a7-8ddb-0bc704e413cf,"Glen Iris Estate Local Structure Plan - WAPC Reference SPN/2330 (PDF, 239.24MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2024-09/glen-iris-estate-local-structure-plan-wapc-reference-spn-2330.pdf,active
4e80af6f-d043-515d-9638-228238563198,"Hamilton Hill Revitalisation Strategy Find out about the Hamilton Hill Revitalisation Strategy, including aim, background, key issues, program of works, context and who to contact.",City of Cockburn,Cockburn,local_planning_strategy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Revitalisation-Strategies/Hamilton-Hill-Revitalisation-Strategy,active
bb69a074-463e-54a2-a06e-6001457fbb08,"Hammond Park West Structure Plan Amendment No. 2 - WAPC Reference SPN 2082M-2 (PDF, 4.99MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2022-09/Hammond-Park-West-Structure-Plan-Amendment-No.2-WAPC-Reference-SPN-2082M-2.pdf,active
44e9c34c-ecf3-5fa4-8720-8b0da4828247,"Hammond Quarter Structure Plan - WAPC Reference SPN/2348 (PDF, 51.52MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2024-02/hammond-quarter-structure-plan-wapc-reference-spn_2348.pdf,active
8d9db257-628f-479a-8850-0fb96bbf99be,Heritage Council WA - Local Heritage Survey (DPLH-008),Heritage Council WA / DPLH (SLIP),,spatial_dataset,https://services.slip.wa.gov.au/public/rest/services/SLIP_Public_Services/People_and_Society/MapServer/9,active
e5122f4b-22b3-48a2-9a82-84b17a131fe3,Heritage Council WA - State Register (DPLH-006),Heritage Council WA / DPLH (SLIP),,spatial_dataset,https://services.slip.wa.gov.au/public/rest/services/SLIP_Public_Services/People_and_Society/MapServer/7,active
95877ba4-87d6-4e13-a8c5-5dd61eef6549,Heritage List (DPLH-090),DPLH (SLIP),,spatial_dataset,https://services.slip.wa.gov.au/public/rest/services/SLIP_Public_Services/People_and_Society/MapServer/16,active
d062ead3-8a60-55ac-b06c-c6e95befd3d6,Housing Affordability Find out about affordable housing for residents and developers. An affordable housing toolkit is also provided here.,City of Cockburn,Cockburn,local_planning_strategy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Planning-Strategy-and-Key-Initiatives/Affordable-Housing,active
c21d42e8-82f3-5f1b-b353-11cc46719d66,"Jandakot Airport Masterplan Access information in the Jandakot Airport Masterplan guides development of the airport site, prepared and updated by Jandakot Airport Holdings.",City of Cockburn,Cockburn,local_planning_strategy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Planning-Strategy-and-Key-Initiatives/Jandakot-Airport-Masterplan,active
7d6e5b08-a49d-57b0-9e92-ad8c5f8e838d,Jandakot/Treeby Urban Expansion The Minister for Planning has made the decision that the Jandakot/Treeby Urban Expansion will become an urban area in the future.,City of Cockburn,Cockburn,local_planning_strategy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Planning-Strategy-and-Key-Initiatives/Jandakot-Treeby-Urban-Expansion,active
004da72c-2d59-5d08-9023-2acfe278ece4,"Koorilla School Site (34B) Local Structure Plan - WAPC Reference SPN/0274 (PDF, 2.6MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2024-03/koorilla-school-site-34b-local-structure-plan-wapc-reference-spn_0274.pdf,active
fa015a1f-f592-56e1-88a3-37f56f85792b,"Land Management Strategy Find out about the City’s Land Management Strategy, its scope, aims, timeframe, the key issues involved and the process for review.",City of Cockburn,Cockburn,local_planning_strategy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Planning-Strategy-and-Key-Initiatives/Land-Management-Strategy,active
cf998216-f5b0-5e97-b381-38b53a6dcc15,"Latitude 32 Access information and contacts relating to Latitude 32 industrial development in the Hope Valley and Wattleup areas, managed by LandCorp.",City of Cockburn,Cockburn,local_planning_strategy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Planning-Strategy-and-Key-Initiatives/Latitude-32,active
46a1d689-28d6-5c45-beeb-1271f225bd1a,"Latitude 32 Development Area 2 Structure Plan - WAPC Reference SPN 0646 (PDF, 9.58MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2026-03/latitude-32-development-area-2-structure-plan-wapc-reference-spn-0646.pdf,active
dabeb1ec-1bae-5bf7-817f-3dc3176f6c32,"Latitude 32 Development Area 6A Structure Plan - WAPC Reference SPN 2227 (PDF, 3.61MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2026-03/latitude_32_development_area_6a_structure_plan.pdf,active
3b32c94d-d5cc-5b2a-ab8a-6cbebdea95ae,"Local Commercial and Activity Centres Strategy Find out about the Local Commercial and Activity Centres Strategy, including its aim, objectives, key issues, strategic planning context and timeline.",City of Cockburn,Cockburn,local_planning_strategy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Planning-Strategy-and-Key-Initiatives/Local-Commercial-and-Activity-Centres-Strategy,active
16c33d10-00b1-5a05-8428-a80c254ebfd2,"Local Development Plans Find out about local development plans (LDPs), including when you need to develop one and how to find a Cockburn LDP using online maps.",City of Cockburn,Cockburn,local_development_plan,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Development-Plans,active
97b971e9-2dc8-4bf7-8474-c9529f9b03b2,Local Government Authority (LGA) Boundaries (LGATE-233),Landgate (SLIP),,spatial_dataset,https://services.slip.wa.gov.au/public/rest/services/SLIP_Public_Services/Boundaries/MapServer/14,active
08cafa09-c5a7-5dca-95b7-c3f8d0273ade,Local Planning Policies Access the full list of all relevant local planning policies adopted under Town Planning Scheme No.3.,City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Planning-Policies,active
65a717f3-bedc-510b-a5e2-9b454720ffe7,"Local Planning Scheme Find out about the City's current Planning Scheme. Department of Planning, Lands and Heritage Regulations and the current Scheme Text.",City of Cockburn,Cockburn,local_planning_scheme,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Planning-Scheme,active
7fa89c1c-6816-4ddb-a0ed-e32b207efd65,Local Planning Scheme - R Codes (DPLH-070),DPLH (SLIP),,spatial_dataset,https://services.slip.wa.gov.au/public/rest/services/SLIP_Public_Services/Property_and_Planning/MapServer/111,active
7735fc62-83cf-4c74-b9c6-e790c67a57e6,Local Planning Scheme - Zones and Reserves (DPLH-071),DPLH (SLIP),,spatial_dataset,https://services.slip.wa.gov.au/public/rest/services/SLIP_Public_Services/Property_and_Planning/MapServer/112,active
d955bb0f-4420-5c3d-83cd-8a63d3d37ee3,Local Planning Strategy and Key Initiatives Learn about the City's Local Planning Strategy and Key Initiatives.,City of Cockburn,Cockburn,local_planning_strategy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Planning-Strategy-and-Key-Initiatives,active
